topic,voice,privacy,status,youtube_url,date_posted
3 stoic habits that build unbreakable discipline,en-US-GuyNeural,unlisted,,,
why the smartest people work fewer hours not more,en-US-AriaNeural,unlisted,,,
the 2 minute rule that destroys procrastination forever,en-US-GuyNeural,unlisted,,,
what billionaires do in the first hour of the day,en-US-AriaNeural,unlisted,,,
the psychology trick stores use to make you spend more,en-US-GuyNeural,unlisted,,,
why your memory fails you and the fix scientists recommend,en-US-AriaNeural,unlisted,,,
the japanese concept ikigai that makes work feel effortless,en-US-GuyNeural,unlisted,,,
5 signs you are smarter than you think,en-US-AriaNeural,unlisted,,,
the 80 20 rule that changes how you work forever,en-US-GuyNeural,unlisted,,,
why successful people wake up at 5am and should you,en-US-AriaNeural,unlisted,,,
the dopamine detox explained in 40 seconds,en-US-GuyNeural,unlisted,,,
how your phone is rewiring your brain,en-US-AriaNeural,unlisted,,,
3 money habits that keep you poor,en-US-GuyNeural,unlisted,,,
the interview trick that gets people hired,en-US-AriaNeural,unlisted,,,
why multitasking is destroying your productivity,en-US-GuyNeural,unlisted,,,
the navy seal rule for staying calm under pressure,en-US-AriaNeural,unlisted,,,
what happens to your brain when you read every day,en-US-GuyNeural,unlisted,,,
the 5 second rule that beats hesitation,en-US-AriaNeural,unlisted,,,
why rich people buy assets and poor people buy liabilities,en-US-GuyNeural,unlisted,,,
the pomodoro technique explained fast,en-US-AriaNeural,unlisted,,,
3 body language tricks that command respect,en-US-GuyNeural,unlisted,,,
why you remember embarrassing moments forever,en-US-AriaNeural,unlisted,,,
the einstein method for learning anything faster,en-US-GuyNeural,unlisted,,,
what cold showers actually do to your body,en-US-AriaNeural,unlisted,,,
the psychology of why we procrastinate,en-US-GuyNeural,unlisted,,,
3 questions that reveal anyone's true character,en-US-AriaNeural,unlisted,,,
why the best ideas come to you in the shower,en-US-GuyNeural,unlisted,,,
the warren buffett rule for saying no,en-US-AriaNeural,unlisted,,,
how small habits compound into massive results,en-US-GuyNeural,unlisted,,,
the real reason most new year resolutions fail,en-US-AriaNeural,unlisted,,,
